Alpha_deg,CL,CD,Cm
-15,-0.742516482751,0.100186341667,0.073048470817
-14,-0.701148092951,0.090070941727,0.069722320996
-13,-0.65897056467,0.080171266905,0.066177595788
-12,-0.615390262515,0.070614350631,0.062167889754
-11,-0.572129501089,0.062078058818,0.058382323345
-10,-0.526594440237,0.053471984217,0.053923613257
-9,-0.482373398719,0.045770598058,0.050010659634
-8,-0.437435973518,0.038787216004,0.045981846578
-7,-0.392892133818,0.032674964083,0.042412597199
-6,-0.348106196838,0.027203418671,0.038855899446
-5,-0.302683109525,0.022263205086,0.03506635612
-4,-0.257297487894,0.018041611302,0.031409141519
-3,-0.211557146948,0.014447410021,0.02764874424
-2,-0.165607276315,0.011510603479,0.023847738762
-1,-0.118937696217,0.009051108834,0.019693842415
0,-0.07319501589,0.007569799561,0.016115598462
1,-0.027379628514,0.006750985181,0.012522435766
2,0.01847286889,0.006600477396,0.008916351406
3,0.064322649012,0.007119220215,0.005302425305
4,0.110191802021,0.008296453109,0.001650865059
5,0.155795535986,0.010178173866,-0.00189484244
6,0.201227064145,0.012730654161,-0.005404345779
7,0.246618238977,0.015925797338,-0.008967529071
8,0.291879120724,0.019771262912,-0.012553667691
9,0.337017827668,0.024257232794,-0.016175281995
10,0.383136064314,0.029281288151,-0.020455095893
11,0.429362479694,0.034956610486,-0.024939878789
12,0.474122510141,0.041369497306,-0.028768089847
13,0.521926460283,0.048502481535,-0.034441288716
14,0.567549376872,0.056292810235,-0.039099556062
15,0.612029099834,0.064781839124,-0.043323039286
16,0.656867064147,0.073992640946,-0.04796487157
17,0.703835367633,0.084214236384,-0.054085021884
18,0.754366379403,0.095013301521,-0.061986911278
19,0.792160992486,0.105490424592,-0.064173482851
20,0.840517625065,0.117883288923,-0.071738082237
